standard_pred,mc_pred,mc_conf,cnn_adv,mc_adv,mc_conf,truth,epsilon
1,1,0.009899999999999999,0,0,0.0,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.0,0,0,0.009899999999999999,1,0.07
1,1,0.0,0,0,0.24509999999999998,1,0.07
1,1,0.019599999999999996,0,0,0.0475,1,0.07
1,1,0.0,0,0,0.24640000000000004,1,0.07
1,1,0.0,1,1,0.0736,1,0.07
0,1,0.08190000000000001,0,0,0.019599999999999992,1,0.07
1,1,0.0,0,0,0.0384,1,0.07
1,1,0.0,0,0,0.16000000000000003,1,0.07
1,1,0.0,1,1,0.1476,1,0.07
1,1,0.0,0,0,0.038400000000000004,1,0.07
1,1,0.0,0,0,0.0291,1,0.07
1,1,0.0,0,0,0.0,1,0.07
1,1,0.0,1,1,0.009899999999999997,1,0.07
1,1,0.0,1,1,0.0,1,0.07
1,1,0.0,0,0,0.22109999999999996,1,0.07
1,1,0.0,0,0,0.06509999999999999,1,0.07
1,1,0.009899999999999997,0,0,0.019599999999999992,1,0.07
1,1,0.009899999999999999,0,0,0.1275,1,0.07
1,1,0.0,1,1,0.1771,1,0.07
1,1,0.0,1,1,0.21389999999999992,1,0.07
1,1,0.029100000000000004,0,0,0.0384,1,0.07
1,1,0.0,0,0,0.11309999999999999,1,0.07
1,1,0.06509999999999999,0,0,0.009899999999999997,1,0.07
1,1,0.0,0,0,0.17160000000000003,1,0.07
1,1,0.1056,0,0,0.0,1,0.07
1,1,0.0,0,0,0.20159999999999997,1,0.07
1,1,0.0,1,1,0.0,1,0.07
1,1,0.0,1,1,0.02910000000000001,1,0.07
1,1,0.0,0,0,0.25,1,0.07
1,1,0.0,1,1,0.0736,1,0.07
1,1,0.0,0,0,0.038400000000000004,1,0.07
1,1,0.0,1,1,0.24189999999999995,1,0.07
1,1,0.0,1,1,0.047500000000000014,1,0.07
1,1,0.0,0,0,0.1824,1,0.07
1,1,0.0,0,0,0.19240000000000002,1,0.07
1,1,0.0,0,0,0.24509999999999996,1,0.07
1,1,0.0,0,0,0.02910000000000001,1,0.07
1,1,0.0,1,0,0.17160000000000003,1,0.07
1,1,0.0,0,0,0.0,1,0.07
