prediction,confidence,truth,adv_status
2,0.1220237985253334,4,Adversary
3,0.9825637936592102,3,No Adversary
2,0.20945186913013458,2,Adversary
4,0.19801025092601776,4,Adversary
7,0.1610194444656372,7,Adversary
2,0.7435416579246521,2,No Adversary
6,0.9747892618179321,6,No Adversary
2,0.9648345112800598,2,No Adversary
9,0.9808781147003174,9,No Adversary
4,0.18929997086524963,4,Adversary
7,0.17724566161632538,7,Adversary
5,0.2578289210796356,5,Adversary
2,0.2399844527244568,2,Adversary
7,0.9506013989448547,7,No Adversary
2,0.9572993516921997,2,No Adversary
8,0.954647958278656,8,No Adversary
7,0.9644091725349426,7,No Adversary
8,0.16302423179149628,8,Adversary
7,0.18640707433223724,7,Adversary
3,0.9448268413543701,3,No Adversary
8,0.17670919001102448,8,Adversary
4,0.1658637821674347,4,Adversary
2,0.15266722440719604,7,Adversary
2,0.9609167575836182,2,No Adversary
0,0.9949082136154175,0,No Adversary
5,0.8208168745040894,5,No Adversary
2,0.9706317186355591,2,No Adversary
0,0.9915577173233032,0,No Adversary
2,0.1319601982831955,9,Adversary
6,0.9461220502853394,6,No Adversary
4,0.1778554469347,4,Adversary
2,0.14064303040504456,7,Adversary
1,0.1466408371925354,1,Adversary
9,0.134312704205513,9,Adversary
4,0.15867727994918823,4,Adversary
6,0.14486163854599,1,Adversary
3,0.9249346256256104,3,No Adversary
6,0.9836660623550415,6,No Adversary
6,0.9926432967185974,6,No Adversary
3,0.9594936370849609,3,No Adversary
7,0.15961243212223053,7,Adversary
1,0.13585801422595978,1,Adversary
7,0.19589562714099884,7,Adversary
0,0.13275915384292603,0,Adversary
7,0.9725702404975891,7,No Adversary
7,0.8330770134925842,9,No Adversary
8,0.20880787074565887,8,Adversary
2,0.9556893110275269,2,No Adversary
8,0.9135994911193848,8,No Adversary
3,0.7180966138839722,5,No Adversary
9,0.9075312614440918,9,No Adversary
3,0.13770872354507446,3,Adversary
2,0.9027175307273865,2,No Adversary
7,0.9237687587738037,7,No Adversary
5,0.12657898664474487,9,Adversary
6,0.9341266751289368,6,No Adversary
4,0.9102770090103149,4,No Adversary
5,0.27375999093055725,5,Adversary
7,0.9535072445869446,7,No Adversary
5,0.2168252021074295,5,Adversary
5,0.12914200127124786,7,Adversary
8,0.18927375972270966,8,Adversary
3,0.2289179265499115,3,Adversary
2,0.27790653705596924,2,Adversary
4,0.12698134779930115,4,Adversary
1,0.14963407814502716,1,Adversary
8,0.17688582837581635,8,Adversary
1,0.9831467270851135,1,No Adversary
1,0.9750388860702515,1,No Adversary
6,0.190265953540802,6,Adversary
3,0.9720702171325684,3,No Adversary
2,0.9271248579025269,2,No Adversary
4,0.9729886054992676,4,No Adversary
5,0.9865976572036743,5,No Adversary
6,0.16889938712120056,6,Adversary
6,0.1832098811864853,6,Adversary
4,0.18520966172218323,4,Adversary
3,0.17541532218456268,3,Adversary
6,0.9771609306335449,6,No Adversary
6,0.16418534517288208,6,Adversary
0,0.7294635772705078,0,No Adversary
6,0.1766795516014099,6,Adversary
8,0.15227530896663666,8,Adversary
9,0.9590010643005371,9,No Adversary
8,0.16088569164276123,8,Adversary
6,0.9335026741027832,6,No Adversary
2,0.13558755815029144,5,Adversary
4,0.9774792194366455,4,No Adversary
4,0.9886442422866821,4,No Adversary
8,0.16562201082706451,8,Adversary
8,0.6289775371551514,8,No Adversary
8,0.18965578079223633,8,Adversary
7,0.9515680074691772,7,No Adversary
2,0.18369103968143463,2,Adversary
0,0.9055898785591125,0,No Adversary
4,0.22716876864433289,4,Adversary
8,0.1523193120956421,8,Adversary
3,0.14803673326969147,3,Adversary
4,0.14244510233402252,4,Adversary
0,0.9717918634414673,0,No Adversary
8,0.1285877525806427,9,Adversary
4,0.23770707845687866,4,Adversary
4,0.16928382217884064,4,Adversary
0,0.9814886450767517,0,No Adversary
7,0.9817715287208557,7,No Adversary
0,0.1746770739555359,0,Adversary
2,0.26052725315093994,2,Adversary
6,0.7370242476463318,6,No Adversary
0,0.17053872346878052,0,Adversary
0,0.9863362908363342,0,No Adversary
5,0.17945648729801178,5,Adversary
2,0.49212563037872314,2,No Adversary
6,0.1543360948562622,6,Adversary
1,0.7920297980308533,1,No Adversary
2,0.7356493473052979,2,No Adversary
7,0.975483238697052,7,No Adversary
8,0.9813159108161926,8,No Adversary
4,0.9826613068580627,4,No Adversary
1,0.14995524287223816,1,Adversary
8,0.15967722237110138,2,Adversary
6,0.2131374180316925,6,Adversary
0,0.15265673398971558,0,Adversary
4,0.1789977252483368,4,Adversary
1,0.14060653746128082,1,Adversary
2,0.1376381367444992,6,Adversary
0,0.18646198511123657,0,Adversary
8,0.7840431332588196,8,No Adversary
5,0.25850239396095276,5,Adversary
2,0.13061954081058502,7,Adversary
4,0.5980050563812256,4,No Adversary
2,0.2186610847711563,2,Adversary
3,0.9474906921386719,3,No Adversary
9,0.9773674607276917,9,No Adversary
6,0.1692759096622467,6,Adversary
2,0.9819965958595276,2,No Adversary
4,0.9349803924560547,4,No Adversary
7,0.980317234992981,7,No Adversary
9,0.5403170585632324,9,No Adversary
7,0.1966332644224167,7,Adversary
2,0.21962247788906097,2,Adversary
2,0.7141067981719971,2,No Adversary
4,0.9940974712371826,4,No Adversary
7,0.9428861737251282,7,No Adversary
9,0.1252509355545044,9,Adversary
8,0.1835605502128601,8,Adversary
7,0.35232818126678467,7,No Adversary
2,0.21896736323833466,2,Adversary
3,0.9806283712387085,3,No Adversary
5,0.9863673448562622,5,No Adversary
3,0.9103093147277832,3,No Adversary
8,0.17348907887935638,8,Adversary
4,0.14567217230796814,9,Adversary
9,0.9738487005233765,9,No Adversary
7,0.9845494031906128,7,No Adversary
8,0.8266136050224304,8,No Adversary
5,0.9738339185714722,5,No Adversary
6,0.7562097311019897,6,No Adversary
1,0.14060969650745392,1,Adversary
8,0.13957735896110535,1,Adversary
4,0.4955572187900543,4,No Adversary
0,0.15853151679039001,0,Adversary
3,0.9038862586021423,3,No Adversary
2,0.8614659905433655,2,No Adversary
8,0.6676753163337708,8,No Adversary
8,0.1708487868309021,8,Adversary
9,0.1607343852519989,9,Adversary
4,0.9952272772789001,4,No Adversary
5,0.24422194063663483,5,Adversary
1,0.9923273324966431,1,No Adversary
9,0.17125532031059265,9,Adversary
0,0.9621626138687134,0,No Adversary
2,0.9627682566642761,2,No Adversary
6,0.15569815039634705,6,Adversary
5,0.8371636271476746,5,No Adversary
6,0.9807964563369751,6,No Adversary
7,0.14884091913700104,7,Adversary
7,0.9634159207344055,7,No Adversary
7,0.16028112173080444,7,Adversary
4,0.9872393608093262,4,No Adversary
3,0.7760854363441467,3,No Adversary
1,0.15103542804718018,1,Adversary
2,0.2083258479833603,2,Adversary
3,0.9696996212005615,3,No Adversary
6,0.9336957335472107,6,No Adversary
1,0.146063894033432,1,Adversary
7,0.16094870865345,7,Adversary
6,0.18331868946552277,6,Adversary
4,0.18661674857139587,4,Adversary
4,0.9708387851715088,4,No Adversary
6,0.17457664012908936,6,Adversary
9,0.9477713704109192,9,No Adversary
9,0.9276164770126343,9,No Adversary
4,0.18371495604515076,4,Adversary
5,0.20634549856185913,5,Adversary
1,0.9246716499328613,1,No Adversary
9,0.7270290851593018,9,No Adversary
6,0.16665208339691162,6,Adversary
5,0.9747663736343384,5,No Adversary
7,0.12856067717075348,7,Adversary
8,0.12261849641799927,6,Adversary
0,0.9866792559623718,0,No Adversary
0,0.15067623555660248,0,Adversary
9,0.15304750204086304,9,Adversary
2,0.23133209347724915,2,Adversary
8,0.17149187624454498,8,Adversary
1,0.1363222450017929,1,Adversary
4,0.20887760818004608,4,Adversary
5,0.205658420920372,5,Adversary
4,0.1324184089899063,4,Adversary
6,0.6340007185935974,6,No Adversary
9,0.9572235345840454,9,No Adversary
8,0.1551923304796219,8,Adversary
5,0.9736287593841553,5,No Adversary
0,0.15071254968643188,0,Adversary
5,0.4906679391860962,5,No Adversary
2,0.2189854383468628,2,Adversary
9,0.8610833883285522,9,No Adversary
4,0.9898287057876587,4,No Adversary
5,0.29212042689323425,5,Adversary
2,0.9749074578285217,2,No Adversary
5,0.746737539768219,5,No Adversary
8,0.18471120297908783,8,Adversary
3,0.9607166051864624,3,No Adversary
4,0.9038439393043518,6,No Adversary
8,0.14293862879276276,8,Adversary
0,0.16721583902835846,0,Adversary
7,0.1633547842502594,7,Adversary
9,0.9261059761047363,9,No Adversary
4,0.17017562687397003,4,Adversary
3,0.19217723608016968,3,Adversary
2,0.9570642709732056,2,No Adversary
7,0.9617217183113098,7,No Adversary
5,0.22119535505771637,5,Adversary
8,0.15568923950195312,7,Adversary
9,0.15059643983840942,9,Adversary
2,0.15456010401248932,7,Adversary
1,0.9852057695388794,1,No Adversary
9,0.15257737040519714,9,Adversary
6,0.9261974096298218,6,No Adversary
5,0.14927764236927032,6,Adversary
7,0.9667672514915466,7,No Adversary
9,0.13319501280784607,9,Adversary
8,0.7622201442718506,8,No Adversary
1,0.9928199648857117,1,No Adversary
9,0.9472762942314148,9,No Adversary
6,0.9584284424781799,6,No Adversary
3,0.6212465763092041,3,No Adversary
2,0.21363641321659088,2,Adversary
3,0.18585185706615448,3,Adversary
9,0.1537182331085205,9,Adversary
6,0.1347368061542511,1,Adversary
4,0.2123970091342926,4,Adversary
8,0.2088276743888855,8,Adversary
1,0.9806717038154602,1,No Adversary
2,0.9291196465492249,2,No Adversary
4,0.211811363697052,4,Adversary
0,0.9847872257232666,0,No Adversary
9,0.8982235789299011,9,No Adversary
2,0.15899202227592468,7,Adversary
7,0.47845685482025146,7,No Adversary
6,0.12967543303966522,1,Adversary
0,0.9784812927246094,0,No Adversary
1,0.984154224395752,1,No Adversary
3,0.9378700256347656,3,No Adversary
6,0.9347468018531799,6,No Adversary
2,0.983908474445343,2,No Adversary
3,0.18539021909236908,3,Adversary
6,0.1472093164920807,6,Adversary
3,0.9366926550865173,3,No Adversary
8,0.8716899752616882,8,No Adversary
6,0.1619105190038681,6,Adversary
2,0.1351717859506607,0,Adversary
5,0.24710308015346527,5,Adversary
5,0.21365608274936676,5,Adversary
3,0.7775258421897888,3,No Adversary
7,0.9759001731872559,7,No Adversary
2,0.24479718506336212,2,Adversary
9,0.1659557968378067,9,Adversary
1,0.9615552425384521,1,No Adversary
6,0.1735111027956009,6,Adversary
5,0.8576183319091797,5,No Adversary
2,0.8887107372283936,2,No Adversary
2,0.15131215751171112,7,Adversary
7,0.9618241190910339,7,No Adversary
9,0.9674507975578308,9,No Adversary
1,0.9877254366874695,1,No Adversary
7,0.18428538739681244,7,Adversary
6,0.1654190570116043,6,Adversary
8,0.9613813161849976,8,No Adversary
3,0.13830353319644928,9,Adversary
4,0.9715545773506165,4,No Adversary
0,0.14629116654396057,0,Adversary
6,0.9837210178375244,6,No Adversary
6,0.9585621356964111,6,No Adversary
3,0.22702321410179138,3,Adversary
1,0.9878280758857727,1,No Adversary
1,0.1602853387594223,1,Adversary
8,0.957126796245575,8,No Adversary
2,0.9449899792671204,2,No Adversary
4,0.9911278486251831,4,No Adversary
2,0.238447368144989,2,Adversary
5,0.15030311048030853,9,Adversary
8,0.18678724765777588,8,Adversary
4,0.19077514111995697,4,Adversary
6,0.8337597846984863,5,No Adversary
6,0.9803775548934937,6,No Adversary
6,0.9397248029708862,6,No Adversary
2,0.2053733766078949,2,Adversary
3,0.5762952566146851,3,No Adversary
8,0.17244499921798706,8,Adversary
3,0.17853300273418427,3,Adversary
4,0.21654726564884186,4,Adversary
5,0.9296308159828186,5,No Adversary
5,0.15128493309020996,6,Adversary
9,0.8678035736083984,9,No Adversary
4,0.9680911302566528,4,No Adversary
1,0.9829098582267761,1,No Adversary
6,0.19208773970603943,6,Adversary
5,0.9199540615081787,5,No Adversary
7,0.9612363576889038,7,No Adversary
2,0.9422832727432251,2,No Adversary
5,0.20348724722862244,5,Adversary
9,0.9406480193138123,9,No Adversary
4,0.18982309103012085,4,Adversary
9,0.1253931075334549,9,Adversary
5,0.16244035959243774,6,Adversary
7,0.47098660469055176,9,No Adversary
7,0.9710361361503601,7,No Adversary
4,0.15704217553138733,4,Adversary
5,0.13825026154518127,9,Adversary
8,0.8597561717033386,8,No Adversary
5,0.21052512526512146,5,Adversary
3,0.6034508347511292,3,No Adversary
8,0.1673392802476883,8,Adversary
3,0.8463973999023438,3,No Adversary
9,0.9441272020339966,9,No Adversary
1,0.1350509524345398,1,Adversary
8,0.9703282117843628,8,No Adversary
5,0.7300320267677307,5,No Adversary
8,0.9704902172088623,8,No Adversary
2,0.16236688196659088,8,Adversary
0,0.14849047362804413,0,Adversary
1,0.9845283627510071,1,No Adversary
0,0.16646458208560944,0,Adversary
9,0.8709129095077515,9,No Adversary
2,0.9340351819992065,2,No Adversary
3,0.8906724452972412,3,No Adversary
8,0.8568902611732483,8,No Adversary
0,0.15244239568710327,0,Adversary
7,0.19026802480220795,7,Adversary
3,0.5740369558334351,3,No Adversary
2,0.9813070893287659,2,No Adversary
2,0.13863950967788696,7,Adversary
0,0.16325794160366058,0,Adversary
4,0.6557834148406982,4,No Adversary
7,0.7935521602630615,7,No Adversary
5,0.17837724089622498,9,Adversary
4,0.16236837208271027,4,Adversary
6,0.19254884123802185,6,Adversary
5,0.21648000180721283,9,Adversary
4,0.9699057936668396,4,No Adversary
0,0.16683723032474518,0,Adversary
6,0.20186737179756165,6,Adversary
9,0.9361433982849121,9,No Adversary
4,0.1977565884590149,4,Adversary
7,0.19756188988685608,7,Adversary
8,0.9795207381248474,8,No Adversary
4,0.6203261017799377,4,No Adversary
7,0.9218112230300903,7,No Adversary
1,0.14323104918003082,1,Adversary
8,0.1395687311887741,8,Adversary
1,0.14318791031837463,1,Adversary
3,0.2258007675409317,3,Adversary
2,0.28097304701805115,2,Adversary
9,0.9272891879081726,9,No Adversary
7,0.8374843597412109,7,No Adversary
3,0.7239071130752563,3,No Adversary
9,0.16275054216384888,9,Adversary
5,0.983466386795044,5,No Adversary
0,0.9872540235519409,0,No Adversary
9,0.960063099861145,9,No Adversary
0,0.15331467986106873,0,Adversary
8,0.9525712728500366,8,No Adversary
6,0.9552550315856934,6,No Adversary
4,0.9669609665870667,4,No Adversary
0,0.9471589922904968,0,No Adversary
7,0.9337789416313171,7,No Adversary
0,0.18040363490581512,0,Adversary
4,0.9614446759223938,4,No Adversary
9,0.943351149559021,9,No Adversary
8,0.18284355103969574,8,Adversary
2,0.9681846499443054,2,No Adversary
8,0.8369149565696716,8,No Adversary
7,0.9614665508270264,7,No Adversary
6,0.9775285124778748,6,No Adversary
8,0.19837352633476257,8,Adversary
7,0.7115879654884338,7,No Adversary
7,0.9639151096343994,7,No Adversary
6,0.986247718334198,6,No Adversary
9,0.933203935623169,9,No Adversary
9,0.15402621030807495,9,Adversary
2,0.22713340818881989,2,Adversary
0,0.995500385761261,0,No Adversary
2,0.24404162168502808,2,Adversary
6,0.15747059881687164,6,Adversary
5,0.9802001118659973,5,No Adversary
3,0.18162129819393158,3,Adversary
1,0.9833803772926331,1,No Adversary
3,0.9751031994819641,3,No Adversary
2,0.1693292260169983,7,Adversary
4,0.8145031929016113,4,No Adversary
3,0.1588878035545349,3,Adversary
7,0.9657779932022095,7,No Adversary
2,0.7816946506500244,2,No Adversary
4,0.9850040674209595,4,No Adversary
6,0.19396796822547913,6,Adversary
8,0.17356343567371368,8,Adversary
5,0.9524767398834229,5,No Adversary
5,0.28746190667152405,5,Adversary
2,0.9802294969558716,2,No Adversary
3,0.9824475049972534,3,No Adversary
5,0.142241969704628,9,Adversary
9,0.9757407903671265,9,No Adversary
6,0.9946776032447815,6,No Adversary
4,0.9782213568687439,4,No Adversary
2,0.9686387777328491,2,No Adversary
6,0.975700318813324,6,No Adversary
6,0.9920806884765625,6,No Adversary
5,0.24026638269424438,5,Adversary
3,0.8366578817367554,3,No Adversary
0,0.820111870765686,0,No Adversary
4,0.9895708560943604,4,No Adversary
8,0.17787492275238037,8,Adversary
4,0.9717392921447754,4,No Adversary
3,0.9813557267189026,3,No Adversary
9,0.9669749736785889,9,No Adversary
6,0.16977889835834503,6,Adversary
4,0.16006775200366974,4,Adversary
9,0.1318659484386444,9,Adversary
1,0.9606073498725891,1,No Adversary
6,0.990746259689331,6,No Adversary
3,0.21871371567249298,3,Adversary
7,0.9421345591545105,7,No Adversary
2,0.16994747519493103,7,Adversary
8,0.15942449867725372,9,Adversary
5,0.9593563079833984,5,No Adversary
9,0.1685275137424469,9,Adversary
6,0.17203813791275024,6,Adversary
0,0.1657477170228958,0,Adversary
2,0.16457945108413696,2,Adversary
2,0.22138351202011108,2,Adversary
7,0.9724316596984863,7,No Adversary
6,0.16919423639774323,6,Adversary
8,0.16010993719100952,9,Adversary
5,0.4933854341506958,5,No Adversary
3,0.5235622525215149,3,No Adversary
7,0.8124901056289673,7,No Adversary
7,0.6667079925537109,7,No Adversary
0,0.9683812856674194,0,No Adversary
6,0.9842008352279663,6,No Adversary
9,0.18131349980831146,9,Adversary
5,0.17090533673763275,5,Adversary
9,0.14982159435749054,9,Adversary
5,0.22344523668289185,5,Adversary
6,0.9169857501983643,6,No Adversary
7,0.16718052327632904,7,Adversary
7,0.1814977526664734,7,Adversary
6,0.9008387923240662,6,No Adversary
2,0.9942580461502075,2,No Adversary
0,0.16239990293979645,0,Adversary
9,0.8819742798805237,9,No Adversary
8,0.9816832542419434,8,No Adversary
5,0.9752162098884583,5,No Adversary
5,0.20336899161338806,5,Adversary
1,0.9002633690834045,1,No Adversary
2,0.2571380138397217,2,Adversary
4,0.9667145609855652,4,No Adversary
8,0.9030378460884094,8,No Adversary
1,0.9827183485031128,1,No Adversary
2,0.14667056500911713,0,Adversary
1,0.13455665111541748,1,Adversary
2,0.23308289051055908,2,Adversary
5,0.13514254987239838,9,Adversary
2,0.1949896663427353,2,Adversary
9,0.9799158573150635,9,No Adversary
5,0.6695265769958496,5,No Adversary
7,0.19664591550827026,7,Adversary
0,0.13897070288658142,0,Adversary
2,0.13984636962413788,2,Adversary
6,0.1657157838344574,6,Adversary
3,0.17550741136074066,3,Adversary
1,0.9877442717552185,1,No Adversary
6,0.18492768704891205,6,Adversary
9,0.14292579889297485,9,Adversary
0,0.1745602935552597,0,Adversary
0,0.9941403865814209,0,No Adversary
4,0.21852342784404755,4,Adversary
2,0.8602969646453857,2,No Adversary
4,0.16299396753311157,4,Adversary
8,0.9434429407119751,8,No Adversary
5,0.17638874053955078,5,Adversary
9,0.14564739167690277,9,Adversary
6,0.14913809299468994,4,Adversary
7,0.8060916662216187,7,No Adversary
4,0.8888895511627197,4,No Adversary
5,0.9442890882492065,5,No Adversary
4,0.6382311582565308,4,No Adversary
0,0.40006595849990845,8,No Adversary
1,0.13710203766822815,1,Adversary
1,0.980385422706604,1,No Adversary
7,0.13340085744857788,7,Adversary
1,0.9815992116928101,1,No Adversary
5,0.24038133025169373,5,Adversary
2,0.9560292959213257,2,No Adversary
2,0.1763557493686676,7,Adversary
1,0.981133222579956,1,No Adversary
2,0.14474162459373474,6,Adversary
6,0.16290917992591858,6,Adversary
7,0.9714911580085754,7,No Adversary
4,0.9824302196502686,4,No Adversary
0,0.9378231167793274,0,No Adversary
0,0.9845433831214905,0,No Adversary
8,0.9402143359184265,8,No Adversary
6,0.9801896810531616,6,No Adversary
1,0.9508053660392761,1,No Adversary
6,0.14976729452610016,6,Adversary
1,0.15027055144309998,1,Adversary
0,0.9571468830108643,0,No Adversary
7,0.9743763208389282,7,No Adversary
5,0.18991373479366302,5,Adversary
3,0.16378912329673767,3,Adversary
5,0.18909898400306702,3,Adversary
3,0.874569296836853,3,No Adversary
8,0.1368541270494461,1,Adversary
2,0.2372983992099762,2,Adversary
9,0.9529455304145813,9,No Adversary
4,0.14318284392356873,4,Adversary
2,0.24001961946487427,2,Adversary
1,0.7376294136047363,1,No Adversary
0,0.16097860038280487,0,Adversary
5,0.7385952472686768,5,No Adversary
7,0.1494838446378708,7,Adversary
8,0.9709562659263611,8,No Adversary
4,0.17173215746879578,4,Adversary
9,0.930908739566803,9,No Adversary
9,0.1486319601535797,9,Adversary
9,0.958770751953125,9,No Adversary
8,0.8272750377655029,8,No Adversary
6,0.9798058867454529,6,No Adversary
8,0.20047275722026825,8,Adversary
3,0.13860280811786652,8,Adversary
1,0.9916093945503235,1,No Adversary
6,0.1478712409734726,6,Adversary
6,0.20188196003437042,6,Adversary
0,0.1518738865852356,0,Adversary
1,0.6135733127593994,9,No Adversary
0,0.17706605792045593,0,Adversary
6,0.9638260006904602,6,No Adversary
4,0.14602215588092804,4,Adversary
0,0.145096555352211,0,Adversary
5,0.1785605102777481,5,Adversary
4,0.9657188653945923,4,No Adversary
2,0.21447978913784027,2,Adversary
1,0.15704087913036346,1,Adversary
9,0.17946115136146545,9,Adversary
8,0.6563630104064941,8,No Adversary
4,0.21032947301864624,4,Adversary
6,0.13401009142398834,1,Adversary
8,0.8719022274017334,8,No Adversary
0,0.17434412240982056,0,Adversary
8,0.9610317349433899,8,No Adversary
8,0.9816235899925232,8,No Adversary
2,0.15459339320659637,6,Adversary
7,0.9001009464263916,7,No Adversary
3,0.9765546321868896,3,No Adversary
9,0.9696973562240601,9,No Adversary
5,0.23663513362407684,5,Adversary
0,0.15385407209396362,0,Adversary
5,0.9195534586906433,5,No Adversary
9,0.18085059523582458,9,Adversary
0,0.1628103256225586,0,Adversary
2,0.9654389023780823,2,No Adversary
9,0.14889605343341827,9,Adversary
4,0.13296622037887573,4,Adversary
8,0.19995395839214325,8,Adversary
6,0.9919835925102234,6,No Adversary
0,0.14420579373836517,0,Adversary
1,0.9745876789093018,1,No Adversary
4,0.14229457080364227,4,Adversary
1,0.1474238634109497,1,Adversary
3,0.19402259588241577,3,Adversary
9,0.9525887370109558,9,No Adversary
2,0.13545092940330505,8,Adversary
1,0.9756968021392822,1,No Adversary
9,0.9407503008842468,9,No Adversary
6,0.19178161025047302,6,Adversary
7,0.9203212261199951,7,No Adversary
1,0.13866089284420013,1,Adversary
7,0.7888720631599426,7,No Adversary
5,0.9200052618980408,5,No Adversary
0,0.174432635307312,0,Adversary
6,0.948561429977417,6,No Adversary
1,0.15070784091949463,1,Adversary
5,0.9887585639953613,5,No Adversary
7,0.1830391138792038,7,Adversary
3,0.9765008687973022,3,No Adversary
2,0.13329550623893738,1,Adversary
7,0.9653576016426086,7,No Adversary
2,0.24081578850746155,2,Adversary
5,0.9487982988357544,5,No Adversary
3,0.20016883313655853,3,Adversary
6,0.9919853806495667,6,No Adversary
7,0.9646388292312622,7,No Adversary
7,0.20572766661643982,7,Adversary
3,0.9062007069587708,3,No Adversary
4,0.9378334283828735,4,No Adversary
5,0.1851869821548462,5,Adversary
8,0.6580504775047302,8,No Adversary
5,0.2146197259426117,5,Adversary
8,0.15693682432174683,8,Adversary
6,0.1719418466091156,6,Adversary
0,0.17831207811832428,0,Adversary
1,0.13075844943523407,1,Adversary
8,0.9021020531654358,8,No Adversary
0,0.17481526732444763,0,Adversary
8,0.1389964073896408,1,Adversary
6,0.7706743478775024,6,No Adversary
0,0.1573660522699356,0,Adversary
2,0.9764468669891357,2,No Adversary
5,0.24126556515693665,5,Adversary
6,0.20220863819122314,6,Adversary
4,0.9476712942123413,4,No Adversary
2,0.23315171897411346,2,Adversary
4,0.9813477993011475,4,No Adversary
4,0.20625868439674377,4,Adversary
6,0.18919487297534943,6,Adversary
7,0.981977105140686,7,No Adversary
9,0.1753789484500885,9,Adversary
5,0.9423856139183044,5,No Adversary
6,0.9341522455215454,6,No Adversary
8,0.16420234739780426,8,Adversary
0,0.15146751701831818,0,Adversary
4,0.7420007586479187,4,No Adversary
6,0.9830155372619629,6,No Adversary
5,0.24319390952587128,5,Adversary
2,0.1722303181886673,7,Adversary
9,0.5978663563728333,9,No Adversary
7,0.9715858697891235,7,No Adversary
9,0.15652436017990112,9,Adversary
9,0.16702872514724731,9,Adversary
4,0.9937310814857483,4,No Adversary
4,0.19126243889331818,4,Adversary
2,0.2367108166217804,2,Adversary
1,0.14142607152462006,1,Adversary
4,0.12255150079727173,4,Adversary
4,0.5195441246032715,9,No Adversary
8,0.9858507513999939,8,No Adversary
8,0.14692585170269012,9,Adversary
7,0.9789801836013794,7,No Adversary
6,0.17946019768714905,6,Adversary
2,0.9415779709815979,2,No Adversary
0,0.15822382271289825,0,Adversary
7,0.9404280781745911,7,No Adversary
3,0.9776505827903748,3,No Adversary
5,0.9181903600692749,5,No Adversary
5,0.15525110065937042,5,Adversary
8,0.11735053360462189,4,Adversary
9,0.9617306590080261,9,No Adversary
8,0.15784092247486115,8,Adversary
6,0.15886721014976501,6,Adversary
6,0.8912928700447083,6,No Adversary
8,0.9583836197853088,8,No Adversary
1,0.9615306258201599,1,No Adversary
2,0.12222007662057877,1,Adversary
2,0.12036029994487762,1,Adversary
0,0.1614702045917511,0,Adversary
8,0.87456876039505,8,No Adversary
0,0.9497994780540466,0,No Adversary
2,0.12838703393936157,1,Adversary
4,0.9802270531654358,4,No Adversary
