,original,adversary,truth,epsilon
110,7,7,7,0.6
111,3,3,3,0.6
112,0,0,0,0.6
113,6,6,6,0.6
114,7,7,7,0.6
115,5,5,5,0.6
116,1,1,1,0.6
117,7,7,7,0.6
118,6,6,6,0.6
119,7,7,7,0.6
120,2,2,2,0.6
121,1,1,1,0.6
122,9,9,9,0.6
123,1,1,1,0.6
124,9,9,9,0.6
125,2,2,2,0.6
126,7,7,7,0.6
127,6,6,6,0.6
128,8,8,8,0.6
129,8,8,8,0.6
130,8,8,8,0.6
131,4,4,4,0.6
132,6,6,6,0.6
133,0,0,0,0.6
134,0,0,0,0.6
135,7,2,2,0.6
136,3,3,3,0.6
137,0,0,0,0.6
138,1,1,1,0.6
139,7,9,7,0.6
140,8,8,8,0.6
141,7,7,7,0.6
142,4,4,4,0.6
143,1,1,1,0.6
144,3,3,3,0.6
145,8,8,8,0.6
146,3,3,3,0.6
147,5,5,5,0.6
148,5,5,5,0.6
149,9,9,9,0.6
150,6,6,6,0.6
151,0,0,0,0.6
152,5,5,5,0.6
153,3,3,3,0.6
154,3,3,3,0.6
155,9,9,9,0.6
156,4,6,4,0.6
157,0,0,0,0.6
158,1,1,1,0.6
159,9,9,9,0.6
160,9,9,9,0.6
161,1,1,1,0.6
162,5,5,5,0.6
163,6,6,6,0.6
164,2,2,2,0.6
165,0,0,0,0.6
166,4,4,4,0.6
167,7,7,7,0.6
168,3,3,3,0.6
169,5,5,5,0.6
170,8,8,8,0.6
171,8,8,8,0.6
172,2,2,2,0.6
173,5,5,5,0.6
174,9,9,9,0.6
175,5,5,5,0.6
176,0,0,0,0.6
177,7,7,7,0.6
178,8,8,8,0.6
179,9,9,9,0.6
180,3,3,3,0.6
181,8,8,8,0.6
182,5,5,5,0.6
183,3,3,3,0.6
184,2,2,2,0.6
185,4,4,4,0.6
186,4,4,4,0.6
187,6,6,6,0.6
188,3,3,3,0.6
189,0,0,0,0.6
190,8,8,8,0.6
191,2,2,2,0.6
192,7,7,7,0.6
193,0,0,0,0.6
194,5,5,5,0.6
195,2,2,2,0.6
196,0,0,0,0.6
197,6,6,6,0.6
198,2,2,2,0.6
199,6,6,6,0.6
200,3,3,3,0.6
201,6,6,6,0.6
202,6,6,6,0.6
203,7,7,7,0.6
204,9,8,9,0.6
205,3,3,3,0.6
206,4,4,4,0.6
207,1,1,1,0.6
208,6,6,6,0.6
209,2,2,2,0.6
210,8,8,8,0.6
211,4,4,4,0.6
212,7,7,7,0.6
213,7,7,7,0.6
214,2,2,2,0.6
215,9,9,7,0.6
216,4,4,4,0.6
217,2,2,2,0.6
218,4,9,4,0.6
219,9,9,9,0.6
220,7,7,7,0.6
221,7,7,7,0.6
222,5,5,5,0.6
223,9,9,9,0.6
224,1,1,1,0.6
225,3,3,3,0.6
226,0,0,0,0.6
227,4,9,4,0.6
228,4,4,4,0.6
229,8,3,8,0.6
230,9,9,9,0.6
231,6,6,6,0.6
232,6,6,6,0.6
233,5,5,5,0.6
234,3,3,3,0.6
235,3,3,3,0.6
236,2,2,2,0.6
237,3,3,3,0.6
238,9,9,9,0.6
239,1,1,1,0.6
240,1,1,1,0.6
241,4,4,4,0.6
242,4,4,4,0.6
243,8,8,8,0.6
244,1,1,1,0.6
245,5,5,5,0.6
246,1,1,1,0.6
247,8,8,8,0.6
248,8,8,8,0.6
249,0,0,0,0.6
250,7,7,7,0.6
251,5,5,5,0.6
252,8,8,8,0.6
253,4,4,4,0.6
254,0,0,0,0.6
255,0,2,0,0.6
256,0,0,0,0.6
257,6,6,6,0.6
258,3,3,3,0.6
259,0,0,0,0.6
260,9,9,9,0.6
261,0,0,0,0.6
262,6,6,6,0.6
263,6,6,6,0.6
264,9,9,9,0.6
265,8,8,8,0.6
266,1,1,1,0.6
267,2,2,2,0.6
268,7,2,3,0.6
269,7,7,7,0.6
270,6,6,6,0.6
271,1,8,1,0.6
272,5,5,5,0.6
273,9,9,9,0.6
274,3,3,3,0.6
275,9,9,9,0.6
276,3,3,3,0.6
277,2,2,2,0.6
278,5,5,5,0.6
279,9,9,9,0.6
280,9,9,9,0.6
281,5,5,5,0.6
282,4,4,4,0.6
283,9,8,9,0.6
284,3,3,3,0.6
285,9,9,9,0.6
286,6,6,6,0.6
287,0,0,0,0.6
288,3,3,3,0.6
289,3,3,3,0.6
290,8,8,8,0.6
291,3,3,3,0.6
292,1,1,1,0.6
293,4,4,4,0.6
294,1,1,1,0.6
295,4,4,4,0.6
296,7,7,7,0.6
297,3,3,3,0.6
298,1,1,1,0.6
299,1,6,6,0.6
300,8,8,8,0.6
301,4,4,4,0.6
302,7,7,7,0.6
303,7,8,7,0.6
304,3,3,3,0.6
305,3,3,3,0.6
306,6,6,6,0.6
307,1,1,1,0.6
308,3,3,3,0.6
309,2,2,2,0.6
310,3,3,3,0.6
311,5,5,5,0.6
312,9,9,9,0.6
313,9,8,9,0.6
314,9,9,9,0.6
315,2,2,2,0.6
316,9,9,9,0.6
317,0,0,0,0.6
318,2,2,2,0.6
319,7,7,7,0.6
320,0,0,0,0.6
321,7,7,7,0.6
322,5,5,5,0.6
323,0,0,0,0.6
324,2,2,2,0.6
325,6,6,6,0.6
326,7,7,7,0.6
327,3,3,3,0.6
328,7,7,7,0.6
329,1,8,1,0.6
330,4,4,4,0.6
331,6,5,6,0.6
332,4,4,4,0.6
333,0,0,0,0.6
334,0,0,0,0.6
335,3,3,3,0.6
336,2,2,2,0.6
337,1,1,1,0.6
338,9,9,9,0.6
339,3,3,3,0.6
340,5,5,5,0.6
341,5,5,5,0.6
342,1,1,1,0.6
343,6,6,6,0.6
344,4,4,4,0.6
345,7,9,7,0.6
346,4,4,4,0.6
347,6,6,6,0.6
348,4,4,4,0.6
349,4,4,4,0.6
350,9,9,9,0.6
351,7,7,7,0.6
352,4,4,4,0.6
353,1,1,1,0.6
354,5,5,5,0.6
355,4,4,4,0.6
356,8,8,8,0.6
357,7,7,7,0.6
358,5,5,5,0.6
359,9,9,9,0.6
360,2,2,2,0.6
361,9,9,9,0.6
362,4,4,4,0.6
363,0,0,0,0.6
364,8,8,8,0.6
365,7,7,7,0.6
366,3,3,3,0.6
367,4,4,4,0.6
368,2,2,2,0.6
369,7,7,7,0.6
370,9,9,9,0.6
371,4,4,4,0.6
372,4,4,4,0.6
373,0,0,0,0.6
374,1,1,1,0.6
375,4,4,4,0.6
376,2,2,1,0.6
377,2,2,2,0.6
378,5,5,5,0.6
379,2,2,2,0.6
380,8,8,8,0.6
381,5,5,5,0.6
382,3,3,3,0.6
383,9,9,9,0.6
384,1,8,1,0.6
385,3,3,3,0.6
386,5,5,5,0.6
387,1,1,1,0.6
388,9,9,9,0.6
389,5,5,5,0.6
390,3,3,3,0.6
391,6,6,6,0.6
392,8,8,8,0.6
393,1,1,1,0.6
394,7,7,7,0.6
395,9,9,9,0.6
396,9,9,9,0.6
397,9,9,9,0.6
398,9,9,9,0.6
399,9,9,9,0.6
400,2,2,2,0.6
401,3,3,3,0.6
402,5,5,5,0.6
403,1,1,1,0.6
404,4,4,4,0.6
405,2,2,2,0.6
406,3,3,3,0.6
407,1,1,1,0.6
408,1,1,1,0.6
409,3,3,3,0.6
410,8,8,8,0.6
411,2,2,2,0.6
412,8,8,8,0.6
413,1,1,1,0.6
414,9,9,9,0.6
415,0,2,2,0.6
416,9,9,9,0.6
417,0,0,0,0.6
418,7,7,7,0.6
419,3,3,3,0.6
420,5,5,5,0.6
421,8,8,8,0.6
422,3,3,3,0.6
423,7,7,7,0.6
424,8,8,8,0.6
425,5,5,5,0.6
426,6,6,6,0.6
427,4,4,4,0.6
428,1,1,1,0.6
429,9,9,9,0.6
430,7,7,7,0.6
431,1,1,1,0.6
432,7,7,7,0.6
433,1,1,1,0.6
434,1,1,1,0.6
435,8,8,8,0.6
436,4,6,6,0.6
437,7,7,7,0.6
438,5,5,5,0.6
439,6,6,6,0.6
440,7,7,7,0.6
441,4,8,4,0.6
442,9,9,9,0.6
443,5,5,5,0.6
444,8,8,8,0.6
445,4,4,6,0.6
446,5,5,5,0.6
447,4,4,6,0.6
448,8,8,8,0.6
449,4,4,4,0.6
450,1,1,1,0.6
451,0,0,0,0.6
452,9,8,9,0.6
453,1,1,1,0.6
454,4,4,4,0.6
455,3,3,3,0.6
456,5,5,5,0.6
457,1,1,1,0.6
458,8,8,8,0.6
459,7,7,7,0.6
460,5,5,5,0.6
461,4,4,4,0.6
462,6,6,6,0.6
463,6,6,6,0.6
464,0,0,0,0.6
465,2,2,2,0.6
466,4,9,4,0.6
467,2,2,2,0.6
468,9,9,9,0.6
469,5,5,5,0.6
470,9,9,9,0.6
471,8,8,8,0.6
472,1,1,1,0.6
473,4,9,4,0.6
474,8,8,8,0.6
475,1,1,1,0.6
476,1,1,1,0.6
477,6,6,6,0.6
478,7,7,7,0.6
479,5,5,5,0.6
480,9,9,9,0.6
481,1,1,1,0.6
482,1,1,1,0.6
483,7,7,7,0.6
484,8,8,8,0.6
485,7,7,7,0.6
486,5,5,5,0.6
487,5,5,5,0.6
488,2,2,2,0.6
489,6,6,6,0.6
490,5,5,5,0.6
491,8,8,8,0.6
492,1,1,1,0.6
493,0,0,0,0.6
494,7,7,7,0.6
495,2,2,2,0.6
496,2,2,2,0.6
497,4,4,4,0.6
498,3,3,3,0.6
499,9,9,9,0.6
500,7,7,7,0.6
501,3,3,3,0.6
502,5,5,5,0.6
503,7,9,7,0.6
504,6,6,6,0.6
505,9,9,9,0.6
506,5,5,5,0.6
507,9,9,9,0.6
508,6,6,6,0.6
509,5,5,5,0.6
510,7,7,7,0.6
511,2,2,2,0.6
512,3,3,3,0.6
513,7,7,7,0.6
514,2,2,2,0.6
515,9,9,9,0.6
516,7,7,7,0.6
517,4,4,4,0.6
518,8,8,8,0.6
519,4,4,4,0.6
520,9,9,9,0.6
521,3,3,3,0.6
522,8,8,8,0.6
523,7,7,7,0.6
524,5,5,5,0.6
525,0,0,0,0.6
526,0,0,0,0.6
527,3,3,3,0.6
528,4,4,4,0.6
529,3,3,3,0.6
530,3,3,3,0.6
531,6,6,6,0.6
532,0,0,0,0.6
533,1,1,1,0.6
534,7,7,7,0.6
535,7,7,7,0.6
536,4,9,4,0.6
537,6,6,6,0.6
538,3,3,3,0.6
539,0,0,0,0.6
540,8,8,8,0.6
541,0,0,0,0.6
542,9,9,9,0.6
543,8,8,8,0.6
544,2,2,2,0.6
545,4,4,4,0.6
546,2,2,2,0.6
547,9,9,9,0.6
548,4,4,4,0.6
549,9,5,9,0.6
550,9,9,9,0.6
551,9,9,9,0.6
552,7,2,7,0.6
553,7,7,7,0.6
554,6,6,6,0.6
555,8,8,8,0.6
556,2,2,2,0.6
557,4,4,4,0.6
558,9,9,9,0.6
559,3,3,3,0.6
560,0,0,0,0.6
561,4,4,4,0.6
562,4,4,4,0.6
563,1,1,1,0.6
564,5,5,5,0.6
565,7,7,7,0.6
566,7,7,7,0.6
567,6,6,6,0.6
568,9,9,9,0.6
569,7,7,7,0.6
570,0,0,0,0.6
571,2,2,2,0.6
572,4,4,4,0.6
573,2,2,2,0.6
574,1,1,1,0.6
575,4,4,4,0.6
576,1,3,7,0.6
577,4,4,4,0.6
578,5,5,5,0.6
579,1,1,1,0.6
580,4,4,4,0.6
581,2,2,7,0.6
582,3,3,3,0.6
583,1,1,1,0.6
584,7,7,7,0.6
585,6,6,6,0.6
586,9,9,9,0.6
587,0,0,0,0.6
588,0,0,0,0.6
589,7,7,7,0.6
590,5,5,3,0.6
591,6,6,6,0.6
592,3,3,3,0.6
593,3,3,3,0.6
594,6,6,6,0.6
595,5,5,5,0.6
596,8,8,8,0.6
597,1,1,1,0.6
598,7,7,7,0.6
599,1,1,1,0.6
600,6,6,6,0.6
601,1,8,1,0.6
602,2,2,2,0.6
603,3,3,3,0.6
604,1,1,1,0.6
605,6,6,6,0.6
606,8,8,8,0.6
607,8,8,8,0.6
608,7,7,7,0.6
609,4,4,4,0.6
610,3,3,3,0.6
611,7,2,7,0.6
612,7,7,7,0.6
613,1,1,1,0.6
614,8,8,8,0.6
615,9,9,9,0.6
616,2,2,2,0.6
617,6,6,6,0.6
618,6,6,6,0.6
619,6,6,6,0.6
620,2,2,2,0.6
621,8,8,8,0.6
622,8,8,8,0.6
623,1,1,1,0.6
624,6,6,6,0.6
625,0,0,0,0.6
626,3,3,3,0.6
627,0,0,0,0.6
628,5,5,5,0.6
629,1,1,1,0.6
630,3,3,3,0.6
631,2,2,2,0.6
632,4,4,4,0.6
633,1,1,1,0.6
634,5,5,5,0.6
635,5,5,5,0.6
636,7,9,7,0.6
637,3,3,3,0.6
638,5,5,5,0.6
639,6,6,6,0.6
640,2,2,2,0.6
641,1,8,1,0.6
642,8,8,8,0.6
643,0,0,0,0.6
644,2,2,2,0.6
645,0,0,0,0.6
646,8,8,8,0.6
647,4,4,4,0.6
648,4,9,4,0.6
649,5,5,5,0.6
650,0,0,0,0.6
651,0,0,0,0.6
652,1,1,1,0.6
653,5,5,5,0.6
654,0,0,0,0.6
655,7,7,7,0.6
656,4,4,4,0.6
657,0,0,0,0.6
658,9,9,9,0.6
659,2,2,2,0.6
660,5,5,5,0.6
661,7,7,7,0.6
662,4,4,4,0.6
663,0,0,0,0.6
664,3,3,3,0.6
665,7,9,7,0.6
666,0,0,0,0.6
667,3,3,3,0.6
668,5,5,5,0.6
669,1,1,1,0.6
670,0,0,0,0.6
671,6,6,6,0.6
672,4,4,4,0.6
673,7,7,7,0.6
674,6,6,6,0.6
675,4,4,4,0.6
676,7,7,7,0.6
677,0,0,0,0.6
678,0,0,0,0.6
679,5,5,5,0.6
680,8,8,8,0.6
681,2,2,2,0.6
682,0,0,0,0.6
683,6,6,6,0.6
684,2,2,2,0.6
685,4,4,4,0.6
686,2,2,2,0.6
687,3,3,3,0.6
688,2,2,2,0.6
689,7,7,7,0.6
690,7,7,7,0.6
691,6,6,6,0.6
692,9,9,9,0.6
693,3,3,8,0.6
694,5,5,5,0.6
695,9,9,9,0.6
696,7,9,7,0.6
697,1,1,1,0.6
698,3,3,3,0.6
699,4,4,4,0.6
700,3,3,3,0.6
701,1,8,1,0.6
702,8,8,8,0.6
703,0,0,0,0.6
704,3,3,3,0.6
705,0,0,0,0.6
706,7,7,7,0.6
707,4,4,4,0.6
708,9,9,9,0.6
709,0,0,0,0.6
710,8,8,8,0.6
711,1,1,1,0.6
712,5,5,5,0.6
713,7,7,7,0.6
714,3,5,3,0.6
715,2,2,2,0.6
716,2,2,2,0.6
717,0,0,0,0.6
718,7,7,7,0.6
719,7,7,3,0.6
720,1,1,1,0.6
721,8,8,8,0.6
722,8,8,8,0.6
723,2,2,2,0.6
724,2,2,2,0.6
725,6,6,6,0.6
726,2,2,2,0.6
727,7,7,7,0.6
728,6,6,6,0.6
729,6,6,6,0.6
730,9,8,9,0.6
731,4,4,4,0.6
732,5,5,9,0.6
733,3,3,3,0.6
734,7,7,7,0.6
735,0,0,0,0.6
736,4,4,4,0.6
737,6,6,6,0.6
738,1,1,1,0.6
739,9,8,9,0.6
740,7,7,7,0.6
741,4,4,4,0.6
742,4,4,4,0.6
743,5,5,5,0.6
744,9,8,8,0.6
745,2,2,2,0.6
746,3,3,3,0.6
747,2,2,2,0.6
748,4,4,4,0.6
749,9,9,9,0.6
750,1,1,1,0.6
751,9,9,9,0.6
752,6,6,6,0.6
753,7,7,7,0.6
754,1,1,1,0.6
755,2,2,2,0.6
756,1,8,1,0.6
757,1,1,1,0.6
758,2,2,2,0.6
759,6,6,6,0.6
760,9,9,9,0.6
761,7,7,7,0.6
762,1,1,1,0.6
763,0,0,0,0.6
764,1,1,1,0.6
765,4,4,4,0.6
766,2,2,2,0.6
767,7,7,7,0.6
768,7,7,7,0.6
769,8,8,8,0.6
770,3,3,3,0.6
771,2,2,2,0.6
772,8,8,8,0.6
773,2,2,2,0.6
774,7,7,7,0.6
775,6,5,6,0.6
776,1,1,1,0.6
777,1,1,1,0.6
778,9,9,9,0.6
779,1,1,1,0.6
780,0,0,0,0.6
781,9,9,9,0.6
782,1,2,1,0.6
783,3,3,3,0.6
784,9,9,9,0.6
785,3,3,3,0.6
786,7,7,7,0.6
787,6,6,6,0.6
788,5,5,5,0.6
789,6,6,6,0.6
790,2,2,2,0.6
791,0,0,0,0.6
792,0,0,0,0.6
793,3,3,3,0.6
794,9,9,9,0.6
795,4,9,4,0.6
796,7,7,7,0.6
797,3,3,3,0.6
798,2,2,2,0.6
799,9,9,9,0.6
800,0,0,0,0.6
801,9,9,9,0.6
802,5,5,5,0.6
803,2,2,2,0.6
804,2,2,2,0.6
805,4,4,4,0.6
806,1,1,1,0.6
807,6,6,6,0.6
808,3,3,3,0.6
809,4,4,4,0.6
810,0,0,0,0.6
811,1,1,1,0.6
812,6,6,6,0.6
813,9,9,9,0.6
814,1,1,1,0.6
815,7,7,7,0.6
816,0,0,0,0.6
817,8,8,8,0.6
818,0,0,0,0.6
819,0,0,0,0.6
820,9,9,9,0.6
821,8,8,8,0.6
822,5,5,5,0.6
823,9,9,9,0.6
824,4,4,4,0.6
825,4,4,4,0.6
826,7,7,7,0.6
827,1,1,1,0.6
828,9,9,9,0.6
829,0,0,0,0.6
830,0,0,0,0.6
831,2,2,2,0.6
832,4,4,4,0.6
833,3,3,3,0.6
834,5,5,5,0.6
835,0,0,0,0.6
836,4,9,4,0.6
837,0,0,0,0.6
838,1,1,1,0.6
839,0,0,0,0.6
840,5,5,5,0.6
841,8,8,8,0.6
842,1,1,1,0.6
843,8,8,8,0.6
844,3,3,3,0.6
845,3,3,3,0.6
846,2,2,2,0.6
847,1,1,1,0.6
848,2,2,2,0.6
849,6,6,6,0.6
850,8,8,8,0.6
851,2,2,2,0.6
852,5,5,5,0.6
853,3,3,3,0.6
854,7,7,7,0.6
855,9,9,9,0.6
856,3,3,3,0.6
857,6,6,6,0.6
858,2,2,2,0.6
859,2,2,2,0.6
860,6,6,6,0.6
861,2,2,2,0.6
862,7,7,7,0.6
863,7,7,7,0.6
864,6,8,6,0.6
865,1,8,1,0.6
866,8,8,8,0.6
867,0,0,0,0.6
868,3,3,3,0.6
869,5,5,5,0.6
870,7,0,7,0.6
871,5,5,5,0.6
872,0,0,0,0.6
873,8,8,8,0.6
874,6,6,6,0.6
875,7,7,7,0.6
876,2,2,2,0.6
877,4,4,4,0.6
878,1,1,1,0.6
879,4,4,4,0.6
880,3,3,3,0.6
881,7,7,7,0.6
882,8,8,7,0.6
883,2,2,2,0.6
884,9,9,9,0.6
885,3,3,3,0.6
886,5,5,5,0.6
887,5,5,5,0.6
888,9,9,9,0.6
889,4,4,4,0.6
890,8,8,8,0.6
891,7,7,7,0.6
892,6,6,6,0.6
893,7,7,7,0.6
894,4,4,4,0.6
895,9,8,9,0.6
896,2,2,2,0.6
897,7,7,7,0.6
898,2,2,7,0.6
899,1,1,1,0.6
900,0,0,0,0.6
901,7,7,7,0.6
902,2,2,2,0.6
903,8,8,8,0.6
904,0,0,0,0.6
905,3,3,3,0.6
906,5,5,5,0.6
907,4,4,4,0.6
908,5,5,5,0.6
909,1,1,1,0.6
910,5,5,5,0.6
911,7,7,7,0.6
912,6,6,6,0.6
913,7,7,7,0.6
914,3,3,3,0.6
915,5,5,5,0.6
916,3,3,3,0.6
917,4,4,4,0.6
918,5,5,5,0.6
919,3,3,3,0.6
920,4,4,4,0.6
921,3,3,3,0.6
922,2,2,2,0.6
923,3,3,3,0.6
924,1,1,1,0.6
925,7,7,7,0.6
926,4,4,4,0.6
927,4,4,4,0.6
928,8,8,8,0.6
929,5,5,5,0.6
930,5,5,5,0.6
931,3,3,3,0.6
932,2,2,2,0.6
933,2,2,2,0.6
934,4,4,9,0.6
935,5,5,5,0.6
936,8,8,8,0.6
937,2,2,2,0.6
938,0,0,0,0.6
939,6,6,6,0.6
940,0,0,0,0.6
941,7,7,7,0.6
942,9,9,9,0.6
943,9,9,9,0.6
944,6,6,6,0.6
945,1,1,1,0.6
946,6,6,6,0.6
947,6,5,6,0.6
948,2,2,2,0.6
949,3,3,3,0.6
950,7,7,7,0.6
951,4,4,4,0.6
952,7,7,7,0.6
953,5,5,5,0.6
954,2,2,2,0.6
955,9,9,9,0.6
956,4,4,4,0.6
957,2,2,2,0.6
958,9,9,9,0.6
959,0,0,0,0.6
960,8,8,8,0.6
961,1,1,1,0.6
962,7,7,7,0.6
963,5,5,5,0.6
964,5,5,5,0.6
965,7,7,7,0.6
966,0,0,0,0.6
967,5,5,5,0.6
968,2,2,2,0.6
969,9,9,9,0.6
970,5,5,5,0.6
971,2,2,2,0.6
972,3,3,3,0.6
973,4,4,4,0.6
974,6,6,6,0.6
975,0,0,0,0.6
976,0,0,0,0.6
977,2,2,2,0.6
978,9,9,9,0.6
979,2,2,2,0.6
980,0,0,0,0.6
981,5,5,5,0.6
982,4,4,4,0.6
983,8,8,8,0.6
984,9,9,9,0.6
985,0,0,0,0.6
986,9,9,9,0.6
987,1,1,1,0.6
988,3,3,3,0.6
989,4,4,4,0.6
990,1,1,1,0.6
991,8,8,8,0.6
992,0,0,0,0.6
993,0,0,0,0.6
994,4,4,4,0.6
995,0,0,0,0.6
996,8,8,8,0.6
997,3,5,5,0.6
998,9,9,9,0.6
999,8,8,8,0.6
1000,4,2,2,0.6
1001,1,1,1,0.6
1002,8,8,8,0.6
1003,2,2,2,0.6
1004,0,0,0,0.6
1005,8,8,8,0.6
1006,8,8,8,0.6
1007,8,8,8,0.6
1008,7,7,7,0.6
1009,4,4,4,0.6
1010,6,6,6,0.6
1011,9,8,9,0.6
1012,0,0,0,0.6
1013,8,8,8,0.6
1014,2,3,2,0.6
1015,8,8,8,0.6
1016,0,0,0,0.6
1017,7,7,7,0.6
1018,7,7,7,0.6
1019,2,2,2,0.6
1020,7,7,7,0.6
1021,9,9,9,0.6
1022,1,1,1,0.6
1023,1,1,1,0.6
1024,2,2,2,0.6
1025,6,6,6,0.6
1026,1,1,1,0.6
1027,2,2,2,0.6
1028,2,2,2,0.6
1029,7,7,7,0.6
1030,6,6,6,0.6
1031,1,1,1,0.6
1032,8,8,8,0.6
1033,5,5,5,0.6
1034,4,4,4,0.6
1035,6,6,6,0.6
1036,2,2,2,0.6
1037,7,7,7,0.6
1038,7,7,7,0.6
1039,2,2,2,0.6
1040,4,4,4,0.6
1041,5,5,5,0.6
1042,3,3,3,0.6
1043,9,9,9,0.6
1044,7,7,7,0.6
1045,4,4,4,0.6
1046,8,8,8,0.6
1047,2,2,2,0.6
1048,6,6,6,0.6
1049,9,9,9,0.6
1050,2,2,3,0.6
1051,2,2,2,0.6
1052,2,2,2,0.6
1053,4,4,4,0.6
1054,9,9,9,0.6
1055,0,0,0,0.6
1056,7,7,7,0.6
1057,7,7,7,0.6
1058,2,2,2,0.6
1059,3,3,3,0.6
1060,9,8,7,0.6
1061,4,4,4,0.6
1062,8,8,3,0.6
1063,9,9,9,0.6
1064,0,0,0,0.6
1065,4,8,4,0.6
1066,2,2,2,0.6
1067,3,3,3,0.6
1068,8,8,8,0.6
1069,2,2,2,0.6
1070,9,9,9,0.6
1071,4,4,4,0.6
1072,0,0,0,0.6
1073,6,6,6,0.6
1074,6,6,6,0.6
1075,4,4,4,0.6
1076,9,9,9,0.6
1077,9,9,9,0.6
1078,2,2,2,0.6
1079,2,2,4,0.6
1080,9,9,9,0.6
1081,8,8,8,0.6
1082,6,6,6,0.6
1083,7,7,7,0.6
1084,8,8,8,0.6
1085,2,2,2,0.6
1086,2,2,2,0.6
1087,2,2,2,0.6
1088,4,4,4,0.6
1089,7,7,7,0.6
1090,8,8,8,0.6
1091,9,9,9,0.6
1092,4,4,4,0.6
1093,8,8,8,0.6
1094,5,5,5,0.6
1095,5,5,5,0.6
1096,7,7,7,0.6
1097,9,9,9,0.6
1098,3,3,3,0.6
1099,2,2,2,0.6
1100,9,9,9,0.6
1101,2,2,2,0.6
1102,7,7,7,0.6
1103,3,3,3,0.6
1104,9,9,9,0.6
1105,1,1,1,0.6
1106,4,4,4,0.6
1107,1,1,1,0.6
1108,7,7,7,0.6
1109,2,2,2,0.6
1110,4,4,4,0.6
1111,4,4,4,0.6
1112,2,2,2,0.6
1113,2,2,2,0.6
1114,3,3,3,0.6
1115,0,0,0,0.6
1116,3,3,3,0.6
1117,1,1,1,0.6
1118,9,9,9,0.6
1119,4,4,4,0.6
1120,6,6,6,0.6
1121,2,2,2,0.6
1122,8,8,8,0.6
1123,8,8,8,0.6
1124,7,7,7,0.6
1125,6,6,6,0.6
1126,1,1,1,0.6
1127,0,0,0,0.6
1128,5,5,5,0.6
1129,0,0,0,0.6
1130,8,8,8,0.6
1131,4,4,4,0.6
1132,3,3,3,0.6
1133,8,8,8,0.6
1134,6,6,6,0.6
1135,7,7,7,0.6
1136,3,3,3,0.6
1137,9,9,9,0.6
1138,6,6,6,0.6
1139,4,4,4,0.6
1140,6,6,6,0.6
1141,6,6,6,0.6
1142,5,5,5,0.6
1143,8,8,8,0.6
1144,1,1,1,0.6
1145,9,9,9,0.6
1146,2,2,2,0.6
1147,3,3,3,0.6
1148,1,1,1,0.6
1149,9,9,9,0.6
1150,6,6,6,0.6
